Np,Strategy,EscaperType,ScenarioID,Captures,SimTime,Outcome
34,Arc,wedge,9,10,0.687138,Partial Breach (3 escaped, 7 captured)
34,Arc,wedge,10,10,0.540848,Partial Breach (3 escaped, 7 captured)
34,Arc,wedge,11,10,0.599361,Partial Breach (3 escaped, 7 captured)
34,Arc,wedge,12,10,0.476569,Partial Breach (2 escaped, 8 captured)
34,Arc,wedge,13,10,0.576375,Partial Breach (3 escaped, 7 captured)
34,Arc,wedge,14,10,0.668948,Partial Breach (2 escaped, 8 captured)
34,Arc,wedge,15,10,0.579727,Partial Breach (4 escaped, 6 captured)
34,Arc,wedge,16,10,1.08893,Partial Breach (2 escaped, 8 captured)
34,Arc,wedge,17,10,0.511852,Partial Breach (3 escaped, 7 captured)
34,Arc,wedge,18,10,0.604617,Partial Breach (2 escaped, 8 captured)
34,Arc,wedge,19,10,0.599856,Partial Breach (3 escaped, 7 captured)
34,Arc,wedge,20,10,0.532601,Partial Breach (4 escaped, 6 captured)
34,Arc,wedge,21,10,0.671325,Partial Breach (1 escaped, 9 captured)
34,Arc,wedge,22,10,0.445492,Partial Breach (2 escaped, 8 captured)
34,Arc,wedge,23,10,0.564628,Partial Breach (3 escaped, 7 captured)
34,Arc,wedge,24,10,0.532409,Partial Breach (3 escaped, 7 captured)
34,Arc,swarm,25,10,0.622746,Pursuers Victory (All intercepted)
34,Arc,swarm,26,10,0.607287,Pursuers Victory (All intercepted)
34,Arc,swarm,27,10,0.526074,Pursuers Victory (All intercepted)
34,Arc,swarm,28,10,0.506295,Pursuers Victory (All intercepted)
34,Arc,swarm,29,10,0.293541,Partial Breach (3 escaped, 7 captured)
34,Arc,swarm,30,10,0.380935,Partial Breach (1 escaped, 9 captured)
34,Arc,swarm,31,10,0.299337,Partial Breach (6 escaped, 4 captured)
34,Arc,swarm,32,10,0.595022,Pursuers Victory (All intercepted)
34,Arc,swarm,33,10,0.386239,Partial Breach (1 escaped, 9 captured)
34,Arc,swarm,34,10,0.185464,Partial Breach (8 escaped, 2 captured)
34,Arc,swarm,35,10,0.300154,Partial Breach (5 escaped, 5 captured)
34,Arc,swarm,36,10,0.633249,Pursuers Victory (All intercepted)
34,Arc,swarm,37,10,0.601437,Pursuers Victory (All intercepted)
34,Arc,swarm,38,10,0.593399,Partial Breach (1 escaped, 9 captured)
34,Arc,swarm,39,10,0.65732,Partial Breach (1 escaped, 9 captured)
34,Arc,swarm,40,10,0.676455,Partial Breach (1 escaped, 9 captured)
34,Arc,swarm,41,10,0.418321,Partial Breach (3 escaped, 7 captured)
34,Arc,swarm,42,10,0.521006,Partial Breach (2 escaped, 8 captured)
34,Arc,swarm,43,10,0.243037,Partial Breach (4 escaped, 6 captured)
34,Arc,swarm,44,10,0.584269,Partial Breach (1 escaped, 9 captured)
34,Arc,swarm,45,10,0.526939,Pursuers Victory (All intercepted)
34,Arc,swarm,46,10,0.529484,Pursuers Victory (All intercepted)
34,Arc,swarm,47,10,0.632004,Partial Breach (2 escaped, 8 captured)
34,Arc,swarm,48,10,0.496402,Pursuers Victory (All intercepted)
34,Arc,swarm,49,10,0.20399,Partial Breach (3 escaped, 7 captured)
34,Arc,stairs,50,10,0.520156,Partial Breach (1 escaped, 9 captured)
34,Arc,stairs,51,10,0.426488,Partial Breach (1 escaped, 9 captured)
34,Arc,stairs,52,10,0.460488,Partial Breach (1 escaped, 9 captured)
34,Arc,stairs,53,10,0.513716,Partial Breach (1 escaped, 9 captured)
34,Arc,stairs,54,10,0.484334,Pursuers Victory (All intercepted)
34,Arc,stairs,55,10,0.487308,Partial Breach (3 escaped, 7 captured)
34,Arc,stairs,56,10,0.431503,Partial Breach (2 escaped, 8 captured)
34,Arc,stairs,57,10,0.469601,Partial Breach (1 escaped, 9 captured)
34,Arc,stairs,58,10,0.491649,Partial Breach (2 escaped, 8 captured)
34,Arc,stairs,59,10,0.400853,Partial Breach (2 escaped, 8 captured)
