step,id,type,x,y,z
16,9,pursuer,158.505,186.7,56.3239
17,0,escaper,90.4545,113.566,200.006
17,1,escaper,137.787,164.487,199.997
17,2,escaper,28.9231,58.1009,199.996
17,0,pursuer,138.413,91.6973,64.2085
17,1,pursuer,136.52,91.2949,63.8924
17,2,pursuer,162.24,90.4295,66.3236
17,3,pursuer,43.6284,35.8977,57.6804
17,4,pursuer,196.34,141.592,65.3374
17,5,pursuer,132.845,45.8728,66.5993
17,6,pursuer,157.123,154.491,59.4815
17,7,pursuer,95.186,172.574,52.9935
17,8,pursuer,205.435,142.528,66.1582
17,9,pursuer,159.962,186.303,60.0278
18,0,escaper,90.5542,113.573,200.006
18,1,escaper,137.887,164.496,199.997
18,2,escaper,29.0227,58.1103,199.995
18,0,pursuer,139.044,92.4664,68.0827
18,1,pursuer,137.212,92.072,67.7546
18,2,pursuer,162.14,91.2518,70.2369
18,3,pursuer,45.2513,36.6447,61.2592
18,4,pursuer,196.637,142.443,69.2346
18,5,pursuer,131.844,46.4124,70.4343
18,6,pursuer,158.609,154.941,63.1679
18,7,pursuer,97.0762,171.39,56.314
18,8,pursuer,205.449,143.358,70.0712
18,9,pursuer,161.365,185.908,63.7529
19,0,escaper,90.6537,113.583,200.007
19,1,escaper,137.986,164.506,199.997
19,2,escaper,29.1222,58.1201,199.995
19,0,pursuer,139.617,93.2824,71.9566
19,1,pursuer,137.846,92.8961,71.6172
19,2,pursuer,161.986,92.1191,74.1387
19,3,pursuer,46.8223,37.4003,64.8594
19,4,pursuer,196.875,143.299,73.1346
19,5,pursuer,130.799,46.9557,74.2568
19,6,pursuer,160.04,155.398,66.8754
19,7,pursuer,98.9167,170.239,59.6738
19,8,pursuer,205.404,144.193,73.9827
19,9,pursuer,162.711,185.516,67.4991
20,0,escaper,90.7529,113.596,200.007
20,1,escaper,138.086,164.514,199.996
20,2,escaper,29.2217,58.1305,199.995
20,0,pursuer,140.127,94.1486,75.8282
20,1,pursuer,138.417,93.7706,75.4784
20,2,pursuer,161.775,93.0344,78.0269
20,3,pursuer,48.3392,38.1641,68.4809
20,4,pursuer,197.051,144.121,77.0453
20,5,pursuer,129.707,47.5022,78.066
20,6,pursuer,161.415,155.82,70.6075
20,7,pursuer,100.703,169.124,63.0746
20,8,pursuer,205.299,144.993,77.9006
20,9,pursuer,164.004,185.084,71.26
21,0,escaper,90.852,113.609,200.008
21,1,escaper,138.185,164.525,199.996
21,2,escaper,29.3209,58.1432,199.995
21,0,pursuer,140.574,95.0298,79.7042
21,1,pursuer,138.925,94.6604,79.345
21,2,pursuer,161.505,93.9628,81.9083
21,3,pursuer,49.7963,38.9719,72.1175
21,4,pursuer,197.165,144.989,80.9484
21,5,pursuer,128.567,48.0879,81.8549
21,6,pursuer,162.728,156.291,74.3564
21,7,pursuer,102.438,168.013,66.5032
21,8,pursuer,205.133,145.837,81.8069
